column_name,column_type,stats,update_ts
accountlength,continuous,"{""edges"": [0, 25, 50, 75, 100, 125, 150, 175, 200, 225, 250]}",2023-01-01 00:00:00.000
custservcalls,continuous,"{""edges"": [0, 0.9, 1.8, 2.7, 3.6, 4.5, 5.4, 6.3, 7.2, 8.1, 9]}",2023-01-01 00:00:00.000
daycalls,continuous,"{""edges"": [0, 16.5, 33, 49.5, 66, 82.5, 99, 115.5, 132, 148.5, 165]}",2023-01-01 00:00:00.000
daymins,continuous,"{""edges"": [0, 35.08, 70.16, 105.24, 140.32, 175.4, 210.48, 245.56, 280.64, 315.72, 351]}",2023-01-01 00:00:00.000
evecalls,continuous,"{""edges"": [0, 17, 34, 51, 68, 85, 102, 119, 136, 153, 170]}",2023-01-01 00:00:00.000
evemins,continuous,"{""edges"": [0, 36.37, 72.74, 109.11, 145.48, 181.85, 218.22, 254.59, 290.96, 327.33, 364]}",2023-01-01 00:00:00.000
intlcalls,continuous,"{""edges"": [0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20]}",2023-01-01 00:00:00.000
intlmins,continuous,"{""edges"": [0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20]}",2023-01-01 00:00:00.000
intlplan,continuous,"{""edges"": [0,1]}",2023-01-01 00:00:00.000
nightcalls,continuous,"{""edges"": [33, 47.2, 61.4, 75.6, 89.8, 104, 118.2, 132.4, 146.6, 160.8, 175]}",2023-01-01 00:00:00.000
nightmins,continuous,"{""edges"": [23.2, 60.38, 97.56, 134.74, 171.92, 209.1, 246.28, 283.46, 320.64, 357.82, 395]}",2023-01-01 00:00:00.000
vmailmessage,continuous,"{""edges"": [0, 5.1, 10.2, 15.3, 20.4, 25.5, 30.6, 35.7, 40.8, 45.9, 51]}",2023-01-01 00:00:00.000
churn,categorical,"{""categories"": [""0"", ""1""]}",2023-01-01 00:00:00.000
